"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 23 23:56:53 EET 2022","Wed Nov 23 23:56:53 EET 2022","693","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to Google Button: ""Google ile Devam Et"" on login page","When user taps to Google Button: ""Google ile Devam Et"" on login page",""
"passed","Wed Nov 23 23:57:05 EET 2022","Wed Nov 23 23:57:06 EET 2022","677","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see confirmation screen page title: ""Hesabını silmek istediğine emin misin?""","Then user should see confirmation screen page title: ""Hesabını silmek istediğine emin misin?""",""
"passed","Wed Nov 23 23:56:54 EET 2022","Wed Nov 23 23:56:57 EET 2022","2722","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see account select screen page title: ""Bir hesap seçin""","Then user should see account select screen page title: ""Bir hesap seçin""",""
"passed","Wed Nov 23 23:57:02 EET 2022","Wed Nov 23 23:57:03 EET 2022","1149","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see settings language text: ""Dil""","Then user should see settings language text: ""Dil""",""
"passed","Wed Nov 23 23:57:02 EET 2022","Wed Nov 23 23:57:02 EET 2022","151","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to settings icon","When user taps to settings icon",""
"passed","Wed Nov 23 23:57:06 EET 2022","Wed Nov 23 23:57:07 EET 2022","899","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see faladdin promotional screen image","Then user should see faladdin promotional screen image",""
"passed","Wed Nov 23 23:56:53 EET 2022","Wed Nov 23 23:56:54 EET 2022","798","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see kvkk text title: ""Kullanıcı Aydınlatma Metni""","Then user should see kvkk text title: ""Kullanıcı Aydınlatma Metni""",""
"passed","Wed Nov 23 23:56:54 EET 2022","Wed Nov 23 23:56:54 EET 2022","138","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to Anladım button","When user taps to Anladım button",""
"passed","Wed Nov 23 23:57:07 EET 2022","Wed Nov 23 23:57:07 EET 2022","1","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","","",""
"passed","Wed Nov 23 23:56:47 EET 2022","Wed Nov 23 23:56:53 EET 2022","5290","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Given user on login page","Given user on login page",""
"passed","Wed Nov 23 23:57:00 EET 2022","Wed Nov 23 23:57:00 EET 2022","88","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to close icon","When user taps to close icon",""
"passed","Wed Nov 23 23:57:01 EET 2022","Wed Nov 23 23:57:02 EET 2022","785","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see profil page title: ""Profilim""","Then user should see profil page title: ""Profilim""",""
"passed","Wed Nov 23 23:57:00 EET 2022","Wed Nov 23 23:57:00 EET 2022","469","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see home page image view header","Then user should see home page image view header",""
"passed","Wed Nov 23 23:57:03 EET 2022","Wed Nov 23 23:57:05 EET 2022","1844","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to delete account button","When user taps to delete account button",""
"passed","Wed Nov 23 23:56:57 EET 2022","Wed Nov 23 23:56:57 EET 2022","168","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user select account","When user select account",""
"passed","Wed Nov 23 23:57:06 EET 2022","Wed Nov 23 23:57:06 EET 2022","108","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to yes delete button","When user taps to yes delete button",""
"passed","Wed Nov 23 23:56:57 EET 2022","Wed Nov 23 23:57:00 EET 2022","2765","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","Then user should see success screen: ""Faladdin’e hoş geldin!""","Then user should see success screen: ""Faladdin’e hoş geldin!""",""
"passed","Wed Nov 23 23:57:00 EET 2022","Wed Nov 23 23:57:01 EET 2022","901","","faladdin login steps: user wants to login on faladdin","","faladdin login steps: user wants to login on faladdin","When user taps to login icon","When user taps to login icon",""
